0.00E+00,0.00E+00
3.76E-04,2.20E+01
3.76E-04,4.39E+01
5.02E-04,8.15E+01
7.52E-04,1.16E+02
7.52E-04,1.41E+02
8.78E-04,1.66E+02
1.00E-03,1.91E+02
1.13E-03,2.13E+02
1.25E-03,2.45E+02
1.25E-03,2.82E+02
1.50E-03,3.10E+02
1.50E-03,3.29E+02
1.63E-03,3.45E+02
1.63E-03,3.61E+02
1.76E-03,3.92E+02
2.01E-03,4.14E+02
2.13E-03,4.39E+02
2.26E-03,4.77E+02
2.38E-03,5.05E+02
2.51E-03,5.27E+02
2.63E-03,5.49E+02
2.88E-03,5.77E+02
3.01E-03,6.05E+02
3.01E-03,6.24E+02
3.13E-03,6.52E+02
3.26E-03,6.84E+02
3.39E-03,7.12E+02
3.64E-03,7.43E+02
3.64E-03,7.75E+02
3.89E-03,8.03E+02
4.01E-03,8.31E+02
4.26E-03,8.62E+02
4.51E-03,8.87E+02
4.76E-03,9.25E+02
4.89E-03,9.63E+02
5.14E-03,1.00E+03
5.39E-03,1.03E+03
5.77E-03,1.07E+03
6.27E-03,1.10E+03
6.65E-03,1.14E+03
7.27E-03,1.17E+03
8.03E-03,1.19E+03
8.90E-03,1.21E+03
9.78E-03,1.24E+03
1.08E-02,1.25E+03
1.17E-02,1.26E+03
1.25E-02,1.27E+03
1.37E-02,1.29E+03
1.48E-02,1.30E+03
1.61E-02,1.30E+03
1.74E-02,1.31E+03
1.86E-02,1.32E+03
1.97E-02,1.33E+03
2.11E-02,1.33E+03
2.19E-02,1.34E+03
2.28E-02,1.35E+03
2.37E-02,1.35E+03
2.48E-02,1.35E+03
2.56E-02,1.36E+03
2.65E-02,1.36E+03
2.76E-02,1.36E+03
2.85E-02,1.37E+03
2.95E-02,1.37E+03
3.03E-02,1.37E+03
3.11E-02,1.38E+03
3.22E-02,1.38E+03
3.31E-02,1.38E+03
3.44E-02,1.39E+03
3.54E-02,1.39E+03
3.62E-02,1.39E+03
3.72E-02,1.40E+03
3.81E-02,1.40E+03
3.90E-02,1.40E+03
4.01E-02,1.40E+03
4.14E-02,1.40E+03
4.25E-02,1.41E+03
4.40E-02,1.41E+03
4.49E-02,1.41E+03
4.61E-02,1.41E+03
4.70E-02,1.41E+03
4.78E-02,1.41E+03
4.85E-02,1.42E+03
4.94E-02,1.42E+03
5.03E-02,1.42E+03
5.12E-02,1.42E+03
5.20E-02,1.43E+03
5.28E-02,1.43E+03
5.38E-02,1.43E+03
5.47E-02,1.43E+03
5.54E-02,1.43E+03
5.64E-02,1.43E+03
5.74E-02,1.43E+03
5.83E-02,1.43E+03
5.93E-02,1.43E+03
6.01E-02,1.43E+03
6.11E-02,1.43E+03
6.18E-02,1.43E+03
6.26E-02,1.43E+03
6.33E-02,1.43E+03
